date,NewCases
"2020-06-12 00:00:00",127514
"2020-06-13 00:00:00",134534
"2020-06-14 00:00:00",132420
"2020-06-15 00:00:00",122318
"2020-06-16 00:00:00",143710
"2020-06-17 00:00:00",143494
"2020-06-18 00:00:00",143436
"2020-06-19 00:00:00",181476
"2020-06-20 00:00:00",186510
"2020-06-21 00:00:00",93298
"2020-06-22 00:00:00",143264
"2020-06-23 00:00:00",167124
"2020-06-24 00:00:00",171219
"2020-06-25 00:00:00",180420
"2020-06-26 00:00:00",189756
"2020-06-27 00:00:00",176984
"2020-06-28 00:00:00",167433
"2020-06-29 00:00:00",151030
"2020-06-30 00:00:00",182173
"2020-07-01 00:00:00",217399
"2020-07-02 00:00:00",206020
"2020-07-03 00:00:00",203583
"2020-07-04 00:00:00",192633
"2020-07-05 00:00:00",182839
"2020-07-06 00:00:00",167809
"2020-07-07 00:00:00",211121
"2020-07-08 00:00:00",214480
"2020-07-09 00:00:00",225266
"2020-07-10 00:00:00",231956
"2020-07-11 00:00:00",213710
"2020-07-12 00:00:00",193339
"2020-07-13 00:00:00",192582
"2020-07-14 00:00:00",221859
"2020-07-15 00:00:00",231187
"2020-07-16 00:00:00",250152
"2020-07-17 00:00:00",243234
"2020-07-18 00:00:00",234502
"2020-07-19 00:00:00",214299
"2020-07-20 00:00:00",207856
"2020-07-21 00:00:00",240511
"2020-07-22 00:00:00",278128
"2020-07-23 00:00:00",280076
"2020-07-24 00:00:00",282914
"2020-07-25 00:00:00",252506
"2020-07-26 00:00:00",212468
"2020-07-27 00:00:00",230548
"2020-07-28 00:00:00",263182
"2020-07-29 00:00:00",274619
"2020-07-30 00:00:00",280486
"2020-07-31 00:00:00",291665
"2020-08-01 00:00:00",247538
"2020-08-02 00:00:00",229655
"2020-08-03 00:00:00",209696
"2020-08-04 00:00:00",258804
"2020-08-05 00:00:00",277036
"2020-08-06 00:00:00",283854
"2020-08-07 00:00:00",283166
"2020-08-08 00:00:00",256071
"2020-08-09 00:00:00",226756
"2020-08-10 00:00:00",227946
"2020-08-11 00:00:00",260628
"2020-08-12 00:00:00",273207
"2020-08-13 00:00:00",290037
"2020-08-14 00:00:00",302164
"2020-08-15 00:00:00",245804
"2020-08-16 00:00:00",215286
"2020-08-17 00:00:00",211619
"2020-08-18 00:00:00",257622
"2020-08-19 00:00:00",275733
"2020-08-20 00:00:00",270853
"2020-08-21 00:00:00",263153
"2020-08-22 00:00:00",261452
"2020-08-23 00:00:00",205017
"2020-08-24 00:00:00",229991
"2020-08-25 00:00:00",243792
"2020-08-26 00:00:00",283297
"2020-08-27 00:00:00",282864
"2020-08-28 00:00:00",284037
"2020-08-29 00:00:00",261255
"2020-08-30 00:00:00",219922
"2020-08-31 00:00:00",264351
"2020-09-01 00:00:00",267713
"2020-09-02 00:00:00",282648
"2020-09-03 00:00:00",284636
"2020-09-04 00:00:00",303700
"2020-09-05 00:00:00",273098
"2020-09-06 00:00:00",230510
"2020-09-07 00:00:00",217426
"2020-09-08 00:00:00",245030
"2020-09-09 00:00:00",286580
"2020-09-10 00:00:00",300033
"2020-09-11 00:00:00",319541
"2020-09-12 00:00:00",284530
"2020-09-13 00:00:00",242188
"2020-09-14 00:00:00",267977
"2020-09-15 00:00:00",283298
"2020-09-16 00:00:00",304955
"2020-09-17 00:00:00",314948
"2020-09-18 00:00:00",325975
"2020-09-19 00:00:00",289262
"2020-09-20 00:00:00",251718
"2020-09-21 00:00:00",278830
"2020-09-22 00:00:00",286495
"2020-09-23 00:00:00",308728
"2020-09-24 00:00:00",319307
"2020-09-25 00:00:00",331655
"2020-09-26 00:00:00",285262
"2020-09-27 00:00:00",251464
"2020-09-28 00:00:00",257868
"2020-09-29 00:00:00",283659
"2020-09-30 00:00:00",325539
"2020-10-01 00:00:00",318352
"2020-10-02 00:00:00",330985
"2020-10-03 00:00:00",297497
"2020-10-04 00:00:00",260557
"2020-10-05 00:00:00",313550
"2020-10-06 00:00:00",315724
"2020-10-07 00:00:00",350630
"2020-10-08 00:00:00",360721
"2020-10-09 00:00:00",361546
"2020-10-10 00:00:00",354723
"2020-10-11 00:00:00",287867
"2020-10-12 00:00:00",291800
"2020-10-13 00:00:00",321390
"2020-10-14 00:00:00",382388
"2020-10-15 00:00:00",409282
"2020-10-16 00:00:00",409496
"2020-10-17 00:00:00",371452
"2020-10-18 00:00:00",328806
"2020-10-19 00:00:00",376440
"2020-10-20 00:00:00",389499
"2020-10-21 00:00:00",445793
"2020-10-22 00:00:00",472348
"2020-10-23 00:00:00",497644
"2020-10-24 00:00:00",455774
"2020-10-25 00:00:00",360034
"2020-10-26 00:00:00",487990
"2020-10-27 00:00:00",470910
"2020-10-28 00:00:00",511840
"2020-10-29 00:00:00",551287
"2020-10-30 00:00:00",574208
"2020-10-31 00:00:00",472499
"2020-11-01 00:00:00",464279
"2020-11-02 00:00:00",561039
"2020-11-03 00:00:00",558715
"2020-11-04 00:00:00",557183
"2020-11-05 00:00:00",621170
"2020-11-06 00:00:00",623999
"2020-11-07 00:00:00",597239
"2020-11-08 00:00:00",484670
"2020-11-09 00:00:00",501596
"2020-11-10 00:00:00",582779
"2020-11-11 00:00:00",629273
"2020-11-12 00:00:00",646441
"2020-11-13 00:00:00",662729
"2020-11-14 00:00:00",587530
"2020-11-15 00:00:00",475279
"2020-11-16 00:00:00",532913
"2020-11-17 00:00:00",611945
"2020-11-18 00:00:00",628107
"2020-11-19 00:00:00",654407
"2020-11-20 00:00:00",673119
"2020-11-21 00:00:00",588557
"2020-11-22 00:00:00",487503
"2020-11-23 00:00:00",524494
"2020-11-24 00:00:00",596576
"2020-11-25 00:00:00",635750
"2020-11-26 00:00:00",592487
"2020-11-27 00:00:00",682198
"2020-11-28 00:00:00",589615
"2020-11-29 00:00:00",486160
"2020-11-30 00:00:00",506419
"2020-12-01 00:00:00",621033
"2020-12-02 00:00:00",653596
"2020-12-03 00:00:00",696317
"2020-12-04 00:00:00",688600
"2020-12-05 00:00:00",646381
"2020-12-06 00:00:00",537389
"2020-12-07 00:00:00",522077
"2020-12-08 00:00:00",649052
"2020-12-09 00:00:00",673135
"2020-12-10 00:00:00",680548
"2020-12-11 00:00:00",706702
"2020-12-12 00:00:00",640212
"2020-12-13 00:00:00",530352
"2020-12-14 00:00:00",533943
"2020-12-15 00:00:00",657655
"2020-12-16 00:00:00",727507
"2020-12-17 00:00:00",740391
"2020-12-18 00:00:00",721909
"2020-12-19 00:00:00",623071
"2020-12-20 00:00:00",531188
"2020-12-21 00:00:00",542939
"2020-12-22 00:00:00",663105
"2020-12-23 00:00:00",695255
"2020-12-24 00:00:00",681952
"2020-12-25 00:00:00",476968
"2020-12-26 00:00:00",507985
"2020-12-27 00:00:00",432267
"2020-12-28 00:00:00",495032
"2020-12-29 00:00:00",670068
"2020-12-30 00:00:00",740660
"2020-12-31 00:00:00",775182
"2021-01-01 00:00:00",564956
"2021-01-02 00:00:00",605164
"2021-01-03 00:00:00",522809
"2021-01-04 00:00:00",555327
"2021-01-05 00:00:00",745222
"2021-01-06 00:00:00",790413
"2021-01-07 00:00:00",892845
"2021-01-08 00:00:00",824511
"2021-01-09 00:00:00",751951
"2021-01-10 00:00:00",589899
"2021-01-11 00:00:00",621512
"2021-01-12 00:00:00",701466
"2021-01-13 00:00:00",750101
"2021-01-14 00:00:00",760688
"2021-01-15 00:00:00",773395
"2021-01-16 00:00:00",644842
"2021-01-17 00:00:00",527399
"2021-01-18 00:00:00",519315
"2021-01-19 00:00:00",599719
"2021-01-20 00:00:00",697828
"2021-01-21 00:00:00",657322
"2021-01-22 00:00:00",660728
"2021-01-23 00:00:00",571037
"2021-01-24 00:00:00",458938
"2021-01-25 00:00:00",494927
"2021-01-26 00:00:00",556044
"2021-01-27 00:00:00",603482
"2021-01-28 00:00:00",613451
"2021-01-29 00:00:00",591501
"2021-01-30 00:00:00",515990
"2021-01-31 00:00:00",389815
"2021-02-01 00:00:00",447823
"2021-02-02 00:00:00",462296
"2021-02-03 00:00:00",525626
"2021-02-04 00:00:00",469654
"2021-02-05 00:00:00",536571
"2021-02-06 00:00:00",428083
"2021-02-07 00:00:00",354479
"2021-02-08 00:00:00",342350
"2021-02-09 00:00:00",407112
"2021-02-10 00:00:00",440850
"2021-02-11 00:00:00",443795
"2021-02-12 00:00:00",428944
"2021-02-13 00:00:00",378773
"2021-02-14 00:00:00",306023
"2021-02-15 00:00:00",280022
"2021-02-16 00:00:00",360343
"2021-02-17 00:00:00",388350
"2021-02-18 00:00:00",409499
"2021-02-19 00:00:00",412789
"2021-02-20 00:00:00",373260
"2021-02-21 00:00:00",321186
"2021-02-22 00:00:00",294615
"2021-02-23 00:00:00",392926
"2021-02-24 00:00:00",446950
"2021-02-25 00:00:00",453324
"2021-02-26 00:00:00",445200
"2021-02-27 00:00:00",390861
"2021-02-28 00:00:00",308338
"2021-03-01 00:00:00",309437
"2021-03-02 00:00:00",313232
"2021-03-03 00:00:00",444834
"2021-03-04 00:00:00",457247
"2021-03-05 00:00:00",446891
"2021-03-06 00:00:00",412463
"2021-03-07 00:00:00",373813
"2021-03-08 00:00:00",304552
"2021-03-09 00:00:00",416011
"2021-03-10 00:00:00",470999
"2021-03-11 00:00:00",480847
"2021-03-12 00:00:00",488598
"2021-03-13 00:00:00",451207
"2021-03-14 00:00:00",364055
"2021-03-15 00:00:00",357053
"2021-03-16 00:00:00",469280
"2021-03-17 00:00:00",549952
"2021-03-18 00:00:00",544847
"2021-03-19 00:00:00",562057
"2021-03-20 00:00:00",495593
"2021-03-21 00:00:00",436585
"2021-03-22 00:00:00",422991
"2021-03-23 00:00:00",518580
"2021-03-24 00:00:00",636381
"2021-03-25 00:00:00",651494
"2021-03-26 00:00:00",639019
"2021-03-27 00:00:00",581578
"2021-03-28 00:00:00",478063
"2021-03-29 00:00:00",461311
"2021-03-30 00:00:00",571935
"2021-03-31 00:00:00",682786
"2021-04-01 00:00:00",710331
"2021-04-02 00:00:00",635680
"2021-04-03 00:00:00",527514
"2021-04-04 00:00:00",557349
"2021-04-05 00:00:00",499492
"2021-04-06 00:00:00",603630
"2021-04-07 00:00:00",682181
"2021-04-08 00:00:00",842950
"2021-04-09 00:00:00",745553
"2021-04-10 00:00:00",663042
"2021-04-11 00:00:00",694491
"2021-04-12 00:00:00",617728
"2021-04-13 00:00:00",782006
"2021-04-14 00:00:00",817568
"2021-04-15 00:00:00",815123
"2021-04-16 00:00:00",856789
"2021-04-17 00:00:00",788939
"2021-04-18 00:00:00",682868
"2021-04-19 00:00:00",698960
"2021-04-20 00:00:00",857516
"2021-04-21 00:00:00",885855
"2021-04-22 00:00:00",902658
"2021-04-23 00:00:00",904430
"2021-04-24 00:00:00",815173
"2021-04-25 00:00:00",726196
"2021-04-26 00:00:00",685447
"2021-04-27 00:00:00",849065
"2021-04-28 00:00:00",905842
"2021-04-29 00:00:00",896286
"2021-04-30 00:00:00",884185
"2021-05-01 00:00:00",790061
"2021-05-02 00:00:00",675972
"2021-05-03 00:00:00",693876
"2021-05-04 00:00:00",800402
"2021-05-05 00:00:00",845925
"2021-05-06 00:00:00",869377
"2021-05-07 00:00:00",831436
"2021-05-08 00:00:00",785561
"2021-05-09 00:00:00",636342
"2021-05-10 00:00:00",630171
"2021-05-11 00:00:00",736836
"2021-05-12 00:00:00",760190
"2021-05-13 00:00:00",731279
"2021-05-14 00:00:00",710426
"2021-05-15 00:00:00",629662
"2021-05-16 00:00:00",546412
"2021-05-17 00:00:00",544336
"2021-05-18 00:00:00",622407
"2021-05-19 00:00:00",673466
"2021-05-20 00:00:00",629998
"2021-05-21 00:00:00",626407
"2021-05-22 00:00:00",570810
"2021-05-23 00:00:00",479953
"2021-05-24 00:00:00",452473
"2021-05-25 00:00:00",533443
"2021-05-26 00:00:00",569439
"2021-05-27 00:00:00",551393
"2021-05-28 00:00:00",504720
"2021-05-29 00:00:00",478518
"2021-05-30 00:00:00",389985
"2021-05-31 00:00:00",385105
"2021-06-01 00:00:00",462722
"2021-06-02 00:00:00",486909
"2021-06-03 00:00:00",482107
"2021-06-04 00:00:00",424971
"2021-06-05 00:00:00",394921
